ID;Data_Pedido;Cliente;CPF;Produto;Categoria;Preco;Quantidade;UF;Cidade;Pagamento;Status_Pedido;Avaliacao_Cliente
184;2023-05-19;Fernanda Machado;694-405-438-17;Mouse sem Fio Logitech;ACESSORIOS;149.90;3;GO;Goiânia;CARTÃO DE CRÉDITO;Entregue;2
185;14/09/2023;Camila Souza;800.294.649-45;SMARTPHONE SAMSUNG;eletronicos;1899,90;-2;SP;Campinas;Boleto;DEVOLVIDO;2
186;2023-08-31;Thiago Lima;61165921046;smart tv lg;ELETRÔNICOS;2499.00;1;RJ;Rio de Janeiro;cartão de débito;CANCELADO;2
187;08/11/2023;Ana Ribeiro;51618793869;Tablet Apple iPad;eletronicos;4199,90;2;RJ;Rio de Janeiro;cartão de débito;EM TRANSITO;2
188;14-10-2024;André Costa;983-952-205-59;Tablet Apple iPad;ELETRÔNICOS;4199,90;1;GO;Goiânia;Bol.;DEVOLVIDO;4
189;2023-04-08;Carlos Martins;99931080340;Mouse Logitech;ACESSORIOS;R$ 149,90;3;RJ;Rio de Janeiro;Bol.;Entregue;
190;07/09/2024;Letícia Araújo;38964738325;SMARTPHONE SAMSUNG;Eletro;R$ 1899.90;3;AL;Maceió;pix;DEVOLVIDO;5
191;01/02/2023;Fernanda Silva;71704995211;Celular Samsung;eletronicos;1899.90;3;SC;Florianópolis;debito;Entregue com Sucesso;5
192;2023-01-05;Marcos Rodrigues;808.984.189-39;SMART TV LG;Eletro;R$2.499,00;2;BA;Salvador;Cartão de Crédito;Entregue com Sucesso;1
193;19-02-2024;Felipe Nascimento;508 309 052 69;MOUSE LOGITECH;ACESSÓRIOS;R$ 149.90;1;RS;Porto Alegre;Débito;CANCELADO;N/A
194;03-03-2024;Camila Ribeiro;658 531 454 69;smart tv lg;Eletrônico;2499.00;3;RJ;Rio de Janeiro;Boleto Bancário;Entregue com Sucesso;4
195;2023-08-09;Pedro Machado;248.601.334-75;Notebook Dell;INFORMÁTICA;3599,90;-2;RN;Natal;PIX;Cancelado;4
196;14.12.2024;Marcos Rocha;769-773-086-21;teclado redragon;INFORMATICA;R$389,90;-1;PR;Curitiba;PIX;Entregue;4
197;17.02.2024;Priscila Pereira;296 644 524 19;NOTEBOOK DELL;INFORMÁTICA;R$ 3599.90;3;RJ;Rio de Janeiro;PIX Instantâneo;entregue;1
198;30/10/2023;Camila Santos;844 058 094 76;Smart Tv LG;ELETRONICOS;R$ 2499.00;-2;BA;Salvador;boleto;em trânsito;3
199;29/10/2023;Pedro Martins;213 136 858 49;smartphone samsung;ELETRONICOS;1899,90;1;SP;São Paulo;Boleto Bancário;ENTREGUE;3
200;2023-04-07;Mariana Gomes;305 167 692 66;smartphone samsung;ELETRÔNICOS;R$1.899,90;3;PI;Teresina;pix;EM TRANSITO;2
201;17/07/2023;Mariana Rodrigues;521-833-374-95;Fone de Ouvido JBL;Acessórios;299,90;2;RN;Natal;Boleto Bancário;Entregue com Sucesso;N/A
202;2024-06-19;Carlos Cardoso;320 991 267 96;fone bluetooth jbl;Acess.;299,90;2;RJ;Rio de Janeiro;Boleto Bancário;Entregue;1
203;08-01-2023;Marcos Ferreira;807 873 583 44;teclado mecânico;INFORMÁTICA;389,90;2;SC;Florianópolis;DÉBITO;entregue;5
204;2024-11-25;Priscila Araújo;486-541-634-69;"Smart TV LG 55""";Eletrônico;R$ 2499.00;1;BA;Salvador;Pix;Entregue;4
205;20-08-2024;Juliana Nascimento;456 847 203 71;fone bluetooth jbl;Acess.;299,90;2;SC;Florianópolis;Cc;entregue;4
206;04/01/2024;Juliana Rodrigues;62693481621;SMART TV LG;ELETRÔNICOS;2499,00;3;RS;Porto Alegre;Cartão de Débito;Entregue;1
