ID;Data_Reclamacao;Consumidor;CPF;Cidade;UF;Categoria;Empresa;Descricao_Problema;Status;Nota_Consumidor;Tempo_Resposta_Dias
185;09.01.2023;Maria Silva;32148666481;Tangará da Serra;MT;Seguros;99;Atendimento precário;Finalizado avaliado;2;N/A
186;06-01-2024;Thiago Ferreira;78487588692;Nova Iguaçu;RJ;Telecomunicações - Telefonia Móvel;LIGHT;Serviço não prestado;Finalizado avaliado;1;52
187;03-02-2024;Felipe Ribeiro;94374018284;Águas Lindas de Goiás;GO;Telecomunicações - Telefonia Móvel;CVC VIAGENS;Atraso na entrega;Em andamento;4;
188;28/7/2024;Camila Rodrigues;987.241.174-26;Bayeux;PB;Comércio Eletrônico;CVC Viagens;Produto diferente do anunciado;Finalizado avaliado;;24
189;2023-06-18;Maria Silva;24498596387;Novo Hamburgo;RS;Energia Elétrica;americanas;Voo cancelado sem aviso;Resolvido;5;39
190;03-07-2024;Pedro Lima;269-398-748-23;Aracaju;SE;Telecomunicações - Telefonia Móvel;Azul;Voo cancelado sem aviso;Finalizado não avaliado;4;78
191;05-02-2024;Juliana Costa;966 535 346 84;São Cristóvão;SE;Alimentação - Delivery;99;Cobrança indevida;Em análise;5;49
192;08-07-2024;Gustavo Rocha;298-884-800-31;Goiânia;GO;Correios e Entregas;CAIXA ECONÔMICA;Dados incorretos na fatura;Finalizado avaliado;4;84
193;2023-09-17;Rafael Martins;514-436-145-43;Juiz de Fora;MG;Viagens e Turismo;Casas Bahia;Propaganda enganosa;Finalizado não avaliado;1;76
194;2023-09-18;Larissa Barbosa;642 471 731 36;Porto Nacional;TO;Transporte Aéreo;Bradesco S.A.;Qualidade abaixo do esperado;Finalizado não avaliado;4;74
195;12/05/2023;Vanessa Gomes;820-496-748-23;Caxias do Sul;RS;Seguros;Light;Produto não entregue;Não Resolvido;2;12
196;10-11-2024;Juliana Costa;83397838528;João Pessoa;PB;Telecomunicações - Telefonia Móvel;Sky Brasil;Falta de resposta;Em andamento;2;87
197;2024-07-20;Pedro Lima;22246780040;Manacapuru;AM;Seguros;ifood;Propaganda enganosa;Em análise;3;1
198;2024-07-23;CAMILA RODRIGUES;292-290-952-33;Montes Claros;MG;Telecomunicações - Internet;Vivo S.A.;Produto não entregue;Em análise;1;63
199;01.10.2023;Lucas Nascimento;619.445.374-97;Maracanaú;CE;Bancos e Financeiras;latam airlines;Estorno não realizado;Em andamento;4;88
200;28/10/2024;Fernanda Pereira;614.185.329-15;Nossa Senhora do Socorro;SE;Seguros;Apple;Produto não entregue;Finalizado não avaliado;4;21
201;03.09.2024;Larissa Barbosa;625 633 500 61;Codó;MA;Água e Esgoto;magalu;Conta contestada;Finalizado avaliado;1;24
202;4/2/2023;Maria Silva;19013447757;Floriano;PI;Correios e Entregas;UBER;Produto diferente do anunciado;Resolvido;5;23
203;3/11/2024;Felipe Ribeiro;257-986-590-94;Rondonópolis;MT;Viagens e Turismo;LATAM Airlines;Internet instável;Finalizado avaliado;5;31
204;2023-09-02;Patrícia Mendes;398 500 212 70;Palmas;TO;Seguros;TIM Celular;Produto não entregue;Em análise;N/A;66
205;19.08.2024;FELIPE RIBEIRO;760-511-782-58;Piripiri;PI;Comércio Eletrônico;bradesco;Internet instável;Finalizado avaliado;4;34
206;28/11/2024;Larissa Barbosa;926 736 482 87;Belford Roxo;RJ;Correios e Entregas;Itau Unibanco S.A.;Serviço não prestado;Em análise;2;
207;2024-01-06;Fernanda Pereira;657-966-972-77;Corumbá;MS;Telecomunicações - Internet;Banco Bradesco;Produto diferente do anunciado;Em andamento;2;84
208;26/10/2024;João Santos;876-207-548-14;Ponta Porã;MS;Correios e Entregas;LATAM Airlines;Defeito no produto;Finalizado não avaliado;4;63
209;9/11/2023;Daniela Araújo;632 878 712 84;Vitória;ES;Água e Esgoto;CVC VIAGENS;Qualidade abaixo do esperado;Resolvido;N/A;78
210;17.08.2023;Gustavo Rocha;92021797033;Manacapuru;AM;Telecomunicações - Telefonia Móvel;Mercadolivre;Produto não entregue;Finalizado não avaliado;2;36
211;2023-09-14;Daniela Araújo;11250430162;Viamão;RS;Alimentação - Delivery;RAPPI;Propaganda enganosa;Resolvido;1;
212;14/01/2024;Felipe Ribeiro;379-526-425-71;Tarauacá;AC;Eletrônicos e Celulares;Claro/Net;Qualidade abaixo do esperado;Não Resolvido;1;79
213;10/9/2024;Roberto Almeida;62871712724;Nova Iguaçu;RJ;Seguros;CAIXA ECONÔMICA;Estorno não realizado;Finalizado avaliado;3;32
214;24/10/2023;Felipe Ribeiro;99747868869;Vitória da Conquista;BA;Telecomunicações - Internet;Magalu;Dificuldade de cancelamento;Em análise;1;66
215;16/11/2023;Ana Oliveira;23378761991;Rio Verde;GO;Eletrônicos e Celulares;amazon brasil;Atendimento precário;Em andamento;3;14
216;11-11-2023;Vanessa Gomes;980-965-708-26;Paraíso do Tocantins;TO;Transporte por Aplicativo;apple;Falta de resposta;Em andamento;;29
217;18.01.2023;Ana Oliveira;41372096136;Itabaiana;SE;Telecomunicações - Internet;Sabesp;Atraso na entrega;Finalizado não avaliado;3;
218;2024-12-28;Vanessa Gomes;582.373.803-26;Nossa Senhora do Socorro;SE;Transporte Aéreo;banco do brasil;Produto não entregue;Finalizado não avaliado;3;68
219;2023-07-21;Pedro Lima;32466877323;Nossa Senhora do Socorro;SE;Cartões de Crédito/Débito;samsung;Qualidade abaixo do esperado;Finalizado não avaliado;N/A;81
220;21/7/2023;Ana Oliveira;712.402.722-82;Itacoatiara;AM;Transporte Aéreo;Uber;Internet instável;Em andamento;1;46
221;15.01.2023;Patrícia Mendes;234 856 973 94;Ponta Grossa;PR;Telecomunicações - TV por Assinatura;APPLE;Voo cancelado sem aviso;Finalizado avaliado;4;65
222;01.08.2023;Gustavo Rocha;548-183-613-65;Paraíso do Tocantins;TO;Transporte Aéreo;banco do brasil;Dificuldade de cancelamento;Em andamento;1;N/A
223;27/2/2023;Camila Rodrigues;108 912 308 35;Porto Alegre;RS;Telecomunicações - Telefonia Móvel;T.I.M.;Erro no aplicativo;Finalizado avaliado;5;57
224;2024-10-23;João Santos;104 835 717 33;Belém;PA;Cartões de Crédito/Débito;Telefonica Brasil;Falta de resposta;Em análise;4;
225;01/02/2023;Maria Silva;27170044671;Montes Claros;MG;Alimentação - Delivery;Azul;Internet instável;Finalizado não avaliado;1;
226;28/1/2024;Vanessa Gomes;410 898 569 99;Lauro de Freitas;BA;Cartões de Crédito/Débito;99;Voo cancelado sem aviso;Resolvido;;-5
227;02-08-2023;Thiago Ferreira;690.285.864-28;Chapecó;SC;Alimentação - Delivery;GOL Linhas Aéreas;Cobrança após cancelamento;Resolvido;2;29
228;11/10/2023;Patrícia Mendes;620.404.174-78;Florianópolis;SC;Bancos e Financeiras;BRADESCO;Qualidade abaixo do esperado;Não Resolvido;4;-1
229;25-10-2024;Rafael Martins;490 272 256 23;Picos;PI;Telecomunicações - TV por Assinatura;Itaú;Serviço não prestado;Não Resolvido;2;87
230;22/11/2023;Camila Rodrigues;272 403 879 80;Londrina;PR;Comércio Eletrônico;MOTOROLA;Estorno não realizado;Resolvido;1;
231;22/12/2024;Amanda Dias;326-226-532-64;Natal;RN;Eletrônicos e Celulares;LIGHT;Cobrança após cancelamento;Em análise;1;27
232;11-11-2024;João Santos;331-946-787-30;Piripiri;PI;Bancos e Financeiras;cpfl energia;Voo cancelado sem aviso;Finalizado avaliado;2;55
233;26.07.2024;VANESSA GOMES;760-705-948-96;Camaçari;BA;Viagens e Turismo;Vivo S.A.;Produto diferente do anunciado;Não Resolvido;N/A;N/A
234;2023-10-22;Vanessa Gomes;337-328-500-81;Tefé;AM;Transporte por Aplicativo;gol linhas aéreas;Erro no aplicativo;Finalizado não avaliado;5;86
235;17-06-2023;Pedro Lima;54241232996;Campinas;SP;Transporte por Aplicativo;CVC Viagens;Estorno não realizado;Finalizado não avaliado;4;
236;27-05-2024;Felipe Ribeiro;676.116.688-14;Rio Branco;AC;Telecomunicações - TV por Assinatura;Azul;Qualidade abaixo do esperado;Finalizado não avaliado;3;83
237;2023-12-11;Felipe Ribeiro;20178248270;Lagarto;SE;Transporte por Aplicativo;Uber;Voo cancelado sem aviso;Finalizado não avaliado;5;39
238;14.08.2023;Daniela Araújo;203 706 636 92;Porto Velho;RO;Bancos e Financeiras;CAIXA ECONÔMICA;Conta contestada;Em análise;4;
239;27-11-2024;Rafael Martins;741.660.796-66;Camaçari;BA;Transporte Aéreo;TIM Celular;Propaganda enganosa;Não Resolvido;4;27
240;10/02/2024;Vanessa Gomes;696.722.376-74;Macapá;AP;Telecomunicações - TV por Assinatura;MOTOROLA;Conta contestada;Finalizado não avaliado;5;-1
241;2024-01-27;Patrícia Mendes;281 214 291 23;Três Lagoas;MS;Água e Esgoto;99;Produto não entregue;Não Resolvido;4;9
242;16.01.2023;Gustavo Rocha;790-958-845-73;Paulista;PE;Comércio Eletrônico;LATAM AIRLINES;Atendimento precário;Não Resolvido;4;16
243;2023-03-14;Rafael Martins;916.184.461-41;Parauapebas;PA;Transporte por Aplicativo;amazon brasil;Conta contestada;Em análise;5;60
244;04-01-2024;LARISSA BARBOSA;829 321 611 46;Três Lagoas;MS;Telecomunicações - Telefonia Móvel;SAMSUNG;Voo cancelado sem aviso;Finalizado avaliado;1;78
245;16.10.2024;Larissa Barbosa;55825197146;Codó;MA;Bancos e Financeiras;Oi Fixo;Atraso na entrega;Em análise;1;64
246;2024-08-07;Bruno Carvalho;238.585.290-79;Linhares;ES;Telecomunicações - Telefonia Móvel;ifood;Propaganda enganosa;Resolvido;3;-5
247;21.07.2024;Ana Oliveira;726-304-163-99;Dourados;MS;Viagens e Turismo;CVC Viagens;Voo cancelado sem aviso;Finalizado não avaliado;1;49
248;2023-11-24;Bruno Carvalho;149.951.758-18;Parintins;AM;Energia Elétrica;Oi Fixo;Atendimento precário;Não Resolvido;5;
249;11.12.2024;Bruno Carvalho;921-883-995-54;Caruaru;PE;Correios e Entregas;CPFL ENERGIA;Cobrança após cancelamento;Finalizado avaliado;3;50
250;11.02.2024;Juliana Costa;597-301-941-83;Florianópolis;SC;Viagens e Turismo;Banco do Brasil;Produto diferente do anunciado;Resolvido;1;0
251;10/12/2024;Pedro Lima;194-406-952-57;Ariquemes;RO;Água e Esgoto;Oi Fixo;Propaganda enganosa;Finalizado avaliado;1;27
252;2024-01-08;Juliana Costa;295 302 832 74;Ponta Grossa;PR;Telecomunicações - TV por Assinatura;ML;Dados incorretos na fatura;Em análise;3;76
253;2024-11-13;Juliana Costa;255-803-185-91;Maringá;PR;Seguros;amazon brasil;Conta contestada;Não Resolvido;4;49
254;11.04.2024;Lucas Nascimento;686.350.876-62;Abaetetuba;PA;Energia Elétrica;CVC Viagens;Cobrança indevida;Resolvido;3;
255;7/10/2024;Maria Silva;407-249-978-72;Guarulhos;SP;Telecomunicações - Internet;Telefonica Brasil;Cobrança indevida;Resolvido;2;75
256;11.06.2024;João Santos;279.326.306-61;Marabá;PA;Transporte Aéreo;AMAZON BRASIL;Atraso na entrega;Em análise;1;19
257;21/8/2023;Camila Rodrigues;294 148 718 69;Nossa Senhora do Socorro;SE;Telecomunicações - Internet;Apple;Atendimento precário;Em análise;N/A;30
258;19/12/2024;Roberto Almeida;117 744 985 57;Dourados;MS;Alimentação - Delivery;Samsung;Produto não entregue;Finalizado avaliado;N/A;54
259;3/8/2024;João Santos;292 243 231 41;São Gonçalo do Amarante;RN;Água e Esgoto;SKY BRASIL;Atendimento precário;Em andamento;3;
260;02/01/2023;Felipe Ribeiro;331.601.718-72;Linhares;ES;Cartões de Crédito/Débito;Banco do Brasil;Internet instável;Finalizado avaliado;1;75
261;2024-04-26;Bruno Carvalho;419.379.810-91;Caracaraí;RR;Seguros;Apple;Internet instável;Resolvido;5;72
262;1/7/2024;Maria Silva;304-290-740-14;Foz do Iguaçu;PR;Bancos e Financeiras;azul;Internet instável;Em andamento;1;80
263;07.06.2023;Larissa Barbosa;482 300 373 63;Rorainópolis;RR;Cartões de Crédito/Débito;CLARO;Internet instável;Finalizado avaliado;;69
264;06-04-2024;Ana Oliveira;883-241-941-97;Boa Vista;RR;Bancos e Financeiras;Azul;Internet instável;Em análise;2;89
265;2024-09-07;Larissa Barbosa;399-615-374-26;Palmas;TO;Correios e Entregas;sabesp;Conta contestada;Resolvido;N/A;
266;12/06/2024;Vanessa Gomes;202-721-616-18;Gurupi;TO;Eletrônicos e Celulares;T.I.M.;Internet instável;Em análise;1;87
267;12-04-2023;Thiago Ferreira;545-920-291-25;Três Lagoas;MS;Seguros;APPLE;Dados incorretos na fatura;Finalizado não avaliado;4;54
268;17/12/2024;Roberto Almeida;610.521.612-67;Boa Vista;RR;Bancos e Financeiras;gol linhas aéreas;Conta contestada;Em andamento;3;9
269;17.10.2024;Felipe Ribeiro;138.258.573-94;Cascavel;PR;Seguros;Vivo / Telefônica;Serviço não prestado;Resolvido;4;27
270;12-03-2024;Juliana Costa;965 861 498 94;Tangará da Serra;MT;Bancos e Financeiras;Banco do Brasil;Produto não entregue;Finalizado avaliado;2;N/A
271;24.03.2023;Fernanda Pereira;303-846-646-57;Teresina;PI;Energia Elétrica;AMERICANAS;Erro no aplicativo;Resolvido;1;53
272;21.12.2024;Maria Silva;230-439-111-60;Osasco;SP;Correios e Entregas;CVC Viagens;Qualidade abaixo do esperado;Não Resolvido;3;86
273;15.02.2024;João Santos;677.554.483-53;Rio de Janeiro;RJ;Telecomunicações - TV por Assinatura;ITAÚ;Voo cancelado sem aviso;Em análise;1;83
274;15-10-2024;Felipe Ribeiro;675 775 494 74;Rio Largo;AL;Cartões de Crédito/Débito;Sky Brasil;Serviço não prestado;Resolvido;5;40
275;2024-05-18;Felipe Ribeiro;607 778 237 11;Lauro de Freitas;BA;Cartões de Crédito/Débito;Caixa Econômica;Dados incorretos na fatura;Resolvido;5;N/A
276;27/04/2023;Roberto Almeida;769 592 420 83;Rio Branco;AC;Alimentação - Delivery;IFOOD;Voo cancelado sem aviso;Finalizado avaliado;3;N/A
277;23/7/2024;Maria Silva;363 991 185 91;Parnamirim;RN;Água e Esgoto;Telefonica Brasil;Estorno não realizado;Finalizado avaliado;2;13
278;10/5/2023;Patrícia Mendes;524-250-152-34;Sinop;MT;Transporte Aéreo;VIVO;Conta contestada;Em andamento;2;77
279;12/7/2023;Rafael Martins;128 631 716 42;Nova Iguaçu;RJ;Comércio Eletrônico;SABESP;Atraso na entrega;Finalizado não avaliado;;-4
280;01-05-2023;Roberto Almeida;902 913 412 26;Ceará-Mirim;RN;Água e Esgoto;Claro/Net;Cobrança após cancelamento;Finalizado avaliado;3;23
281;22/11/2024;João Santos;355.433.184-90;Cabedelo;PB;Telecomunicações - TV por Assinatura;OI FIXO;Atendimento precário;Não Resolvido;5;53
282;25/9/2023;Carlos Souza;53938273479;Mossoró;RN;Correios e Entregas;CASAS BAHIA;Serviço não prestado;Em análise;4;61
283;26/3/2023;João Santos;11390161091;Curitiba;PR;Seguros;MERCADO LIVRE;Propaganda enganosa;Em análise;5;50
284;01-08-2023;Amanda Dias;23982223599;Macapá;AP;Energia Elétrica;Americanas S.A.;Atraso na entrega;Não Resolvido;2;33
285;23/09/2024;Thiago Ferreira;61960524540;Chapecó;SC;Água e Esgoto;Bradesco;Propaganda enganosa;Não Resolvido;3;12
286;05-11-2024;Thiago Ferreira;59710596739;Codó;MA;Cartões de Crédito/Débito;motorola;Conta contestada;Finalizado avaliado;4;13
287;2023-08-21;Lucas Nascimento;56366879628;Cacoal;RO;Telecomunicações - Internet;99;Atraso na entrega;Resolvido;4;73
288;2024-11-20;Roberto Almeida;70285275019;Ji-Paraná;RO;Alimentação - Delivery;LATAM Airlines;Voo cancelado sem aviso;Não Resolvido;1;44
289;21-07-2024;Lucas Nascimento;70413261914;Belo Horizonte;MG;Cartões de Crédito/Débito;LATAM Airlines;Conta contestada;Resolvido;2;66
290;03-04-2023;Larissa Barbosa;534-134-442-59;Juiz de Fora;MG;Telecomunicações - Internet;LIGHT;Voo cancelado sem aviso;Não Resolvido;3;
291;23/10/2024;JOÃO SANTOS;73337862714;Penedo;AL;Telecomunicações - TV por Assinatura;SKY BRASIL;Cobrança após cancelamento;Não Resolvido;3;46
292;13-04-2023;Ana Oliveira;212 633 199 98;Três Lagoas;MS;Seguros;CAIXA ECONÔMICA;Produto não entregue;Não Resolvido;1;3
293;10/6/2024;Felipe Ribeiro;565-703-654-77;Patos;PB;Energia Elétrica;apple;Voo cancelado sem aviso;Não Resolvido;2;34
294;06/07/2024;Rafael Martins;972.491.985-57;Taguatinga;DF;Correios e Entregas;iFood;Defeito no produto;Finalizado avaliado;3;83
295;2023-08-11;Fernanda Pereira;785 378 799 28;Camaçari;BA;Seguros;claro / net;Dados incorretos na fatura;Resolvido;4;56
296;6/9/2023;Vanessa Gomes;19618365667;Sorriso;MT;Telecomunicações - TV por Assinatura;correios;Dados incorretos na fatura;Resolvido;3;67
297;19-11-2024;Vanessa Gomes;555 748 833 22;Tarauacá;AC;Transporte Aéreo;OI FIXO;Internet instável;Finalizado não avaliado;5;-4
298;27.12.2023;Lucas Nascimento;276-849-885-48;Penedo;AL;Alimentação - Delivery;IFOOD;Defeito no produto;Não Resolvido;;-3
299;18/3/2023;Fernanda Pereira;16222889469;Picos;PI;Transporte por Aplicativo;gol linhas aéreas;Defeito no produto;Em análise;5;58
300;18/7/2023;Daniela Araújo;993-866-592-79;Piripiri;PI;Alimentação - Delivery;Magalu;Conta contestada;Resolvido;1;19
301;04-09-2024;Daniela Araújo;908-533-915-60;Bayeux;PB;Viagens e Turismo;CVC Viagens;Falta de resposta;Resolvido;5;1
302;22-02-2023;Carlos Souza;72940287555;Paço do Lumiar;MA;Telecomunicações - Telefonia Móvel;BANCO DO BRASIL;Atraso na entrega;Resolvido;N/A;55
303;2023-07-13;Roberto Almeida;748.554.527-64;Chapecó;SC;Eletrônicos e Celulares;Vivo;Voo cancelado sem aviso;Não Resolvido;4;83
304;9/7/2024;Vanessa Gomes;223.218.526-25;Caracaraí;RR;Transporte por Aplicativo;TIM Celular;Erro no aplicativo;Não Resolvido;3;-5
305;07.10.2024;Pedro Lima;274-847-309-46;Itajaí;SC;Bancos e Financeiras;LATAM AIRLINES;Internet instável;Finalizado não avaliado;N/A;55
306;9/9/2023;Fernanda Pereira;338.879.301-97;Jaraguá do Sul;SC;Bancos e Financeiras;Claro;Falta de resposta;Finalizado não avaliado;3;11
307;04.06.2023;Maria Silva;393-453-604-82;Bayeux;PB;Seguros;light;Dificuldade de cancelamento;Não Resolvido;2;84
308;16/07/2024;Thiago Ferreira;763-129-875-23;Cariacica;ES;Viagens e Turismo;amazon brasil;Propaganda enganosa;Em andamento;4;
309;15-11-2023;ROBERTO ALMEIDA;506-680-177-51;Vitória da Conquista;BA;Energia Elétrica;oi fixo;Erro no aplicativo;Em andamento;5;15
310;17/3/2023;Fernanda Pereira;790 301 545 60;Criciúma;SC;Bancos e Financeiras;Caixa Econômica;Serviço não prestado;Em andamento;N/A;77
311;10/10/2024;Camila Rodrigues;816 604 165 75;Vitória da Conquista;BA;Transporte Aéreo;CPFL ENERGIA;Propaganda enganosa;Não Resolvido;5;
312;2023-09-17;Amanda Dias;703 831 720 77;Rio Largo;AL;Comércio Eletrônico;cpfl energia;Produto não entregue;Em análise;N/A;69
313;24/3/2024;Lucas Nascimento;364 525 820 63;Maracanaú;CE;Telecomunicações - Telefonia Móvel;samsung;Cobrança indevida;Em andamento;3;2
314;18.09.2024;Bruno Carvalho;104 936 700 64;Pacaraima;RR;Eletrônicos e Celulares;BRADESCO;Voo cancelado sem aviso;Resolvido;5;88
315;10-07-2023;Fernanda Pereira;948-684-762-56;Colombo;PR;Energia Elétrica;AMERICANAS;Internet instável;Em andamento;5;86
316;17/05/2024;Carlos Souza;176.183.329-88;Laranjal do Jari;AP;Telecomunicações - Telefonia Móvel;Light;Cobrança após cancelamento;Finalizado avaliado;2;24
317;18-08-2023;Camila Rodrigues;936-450-281-56;Abaetetuba;PA;Telecomunicações - TV por Assinatura;CAIXA ECONÔMICA;Dados incorretos na fatura;Em análise;4;61
318;26/06/2024;Patrícia Mendes;617 265 707 23;Ji-Paraná;RO;Água e Esgoto;CVC VIAGENS;Voo cancelado sem aviso;Em análise;1;28
319;12.08.2024;Larissa Barbosa;532-215-187-82;Laranjal do Jari;AP;Transporte Aéreo;99;Defeito no produto;Finalizado avaliado;5;67
320;06/05/2023;Lucas Nascimento;980.917.543-54;Londrina;PR;Correios e Entregas;oi fixo;Dados incorretos na fatura;Em andamento;1;50
321;03/07/2023;Carlos Souza;718-880-354-95;São Gonçalo;RJ;Alimentação - Delivery;CORREIOS;Internet instável;Resolvido;2;12
322;21-08-2023;Bruno Carvalho;554.627.950-98;Duque de Caxias;RJ;Transporte Aéreo;itau;Dados incorretos na fatura;Em andamento;1;51
323;2023-11-10;Vanessa Gomes;148 881 925 38;Teresina;PI;Água e Esgoto;CPFL Energia;Cobrança indevida;Em andamento;2;-2
324;11/02/2023;Bruno Carvalho;151-880-216-52;Três Lagoas;MS;Bancos e Financeiras;rappi;Propaganda enganosa;Finalizado avaliado;5;13
325;19/12/2023;Camila Rodrigues;97763370051;Teresina;PI;Telecomunicações - Internet;bradesco;Cobrança após cancelamento;Finalizado avaliado;2;76
326;2023-05-11;Roberto Almeida;736-301-413-39;Marabá;PA;Água e Esgoto;americanas;Estorno não realizado;Não Resolvido;5;
327;22.03.2024;Ana Oliveira;562.318.977-30;Lauro de Freitas;BA;Alimentação - Delivery;SABESP;Atendimento precário;Finalizado não avaliado;1;7
328;2023-08-13;Juliana Costa;843 102 949 84;Ribeirão das Neves;MG;Telecomunicações - TV por Assinatura;enel;Qualidade abaixo do esperado;Finalizado avaliado;2;15
329;13.05.2024;Pedro Lima;418.497.639-67;Santa Rita;PB;Água e Esgoto;caixa econômica;Atendimento precário;Resolvido;2;73
330;15/3/2023;João Santos;790-347-514-90;Lauro de Freitas;BA;Seguros;iFood;Serviço não prestado;Finalizado não avaliado;1;N/A
331;10.01.2023;Ana Oliveira;751-526-289-22;Caruaru;PE;Eletrônicos e Celulares;MOTOROLA;Produto diferente do anunciado;Resolvido;4;67
332;2023-10-26;Larissa Barbosa;16522477778;São Cristóvão;SE;Transporte Aéreo;Mercadolivre;Propaganda enganosa;Em análise;2;0
333;04.10.2023;Bruno Carvalho;40992846930;Londrina;PR;Correios e Entregas;SAMSUNG;Dificuldade de cancelamento;Não Resolvido;5;5
334;23-06-2024;LUCAS NASCIMENTO;464-245-705-86;Sorocaba;SP;Seguros;tim;Falta de resposta;Resolvido;2;27
335;2024-07-23;Camila Rodrigues;292-290-952-33;Montes Claros;MG;Telecomunicações - Internet;Vivo S.A.;Produto não entregue;Em análise;1;63
336;08.08.2024;Pedro Lima;925.783.452-24;Abaetetuba;PA;Seguros;LATAM AIRLINES;Atraso na entrega;Resolvido;1;87
337;11.12.2023;Juliana Costa;839-695-808-37;Goiânia;GO;Seguros;oi fixo;Voo cancelado sem aviso;Em andamento;3;90
338;2024-04-19;Thiago Ferreira;434.367.379-63;Sorriso;MT;Seguros;Rappi;Falta de resposta;Em análise;5;
339;15.02.2023;Pedro Lima;231 754 429 35;Juazeiro;BA;Eletrônicos e Celulares;MAGAZINE LUIZA;Produto não entregue;Não Resolvido;4;24
340;26/11/2024;Thiago Ferreira;751 305 183 71;Olinda;PE;Bancos e Financeiras;Sky Brasil;Falta de resposta;Em análise;4;21
341;04/11/2024;Patrícia Mendes;578 521 246 66;Nova Iguaçu;RJ;Comércio Eletrônico;claro / net;Estorno não realizado;Finalizado não avaliado;N/A;1
342;04.07.2024;Rafael Martins;147-849-686-11;Cabo de Santo Agostinho;PE;Transporte por Aplicativo;MercadoLivre;Estorno não realizado;Resolvido;2;60
343;2/8/2024;Fernanda Pereira;196-552-255-39;Ribeirão das Neves;MG;Viagens e Turismo;uber;Voo cancelado sem aviso;Resolvido;N/A;N/A
344;06/06/2024;Daniela Araújo;225.248.724-54;Itabuna;BA;Energia Elétrica;Enel;Propaganda enganosa;Em andamento;2;66
345;2023-12-25;Roberto Almeida;959-790-271-88;Salvador;BA;Correios e Entregas;Banco do Brasil;Serviço não prestado;Finalizado avaliado;2;21
346;12/11/2023;GUSTAVO ROCHA;930 762 327 42;Cabo de Santo Agostinho;PE;Água e Esgoto;Mercadolivre;Produto diferente do anunciado;Finalizado avaliado;1;17
347;10.03.2024;Patrícia Mendes;950.570.409-99;Mossoró;RN;Transporte por Aplicativo;Claro/Net;Conta contestada;Não Resolvido;5;31
348;13.06.2024;Lucas Nascimento;50999076068;Itacoatiara;AM;Transporte Aéreo;enel;Cobrança após cancelamento;Em andamento;1;36
349;25-08-2024;Thiago Ferreira;40464339467;Penedo;AL;Seguros;Banco do Brasil;Propaganda enganosa;Em análise;4;
350;09/06/2024;João Santos;22481265560;Crato;CE;Alimentação - Delivery;Banco Bradesco;Internet instável;Em análise;5;72
351;2024-08-26;Roberto Almeida;832 378 528 65;Sena Madureira;AC;Viagens e Turismo;Americanas S.A.;Dados incorretos na fatura;Resolvido;4;30
352;05-05-2023;Gustavo Rocha;279.904.839-40;Campo Grande;MS;Telecomunicações - TV por Assinatura;light;Defeito no produto;Finalizado não avaliado;3;48
353;23-06-2024;Lucas Nascimento;464-245-705-86;Sorocaba;SP;Seguros;tim;Falta de resposta;Resolvido;2;27
354;11.07.2024;GUSTAVO ROCHA;83036420572;Tangará da Serra;MT;Transporte por Aplicativo;BRADESCO;Propaganda enganosa;Resolvido;1;N/A
355;2023-02-01;João Santos;187-966-367-89;Porto Alegre;RS;Água e Esgoto;LIGHT;Qualidade abaixo do esperado;Resolvido;5;N/A
356;26-12-2023;João Santos;253.856.972-21;Penedo;AL;Telecomunicações - Telefonia Móvel;Rappi;Defeito no produto;Em análise;;49
357;01/12/2023;Pedro Lima;522.429.257-10;Nova Iguaçu;RJ;Comércio Eletrônico;Samsung;Erro no aplicativo;Em andamento;3;6
358;1/12/2024;Bruno Carvalho;334.511.874-55;Uberlândia;MG;Viagens e Turismo;LATAM Airlines;Propaganda enganosa;Não Resolvido;1;
359;10/6/2024;João Santos;595 689 584 60;Abaetetuba;PA;Telecomunicações - Internet;Oi Fixo;Qualidade abaixo do esperado;Não Resolvido;3;60
360;24.04.2023;Roberto Almeida;980.350.689-75;Maceió;AL;Telecomunicações - Telefonia Móvel;sky brasil;Atendimento precário;Em análise;3;49
361;12.11.2023;Vanessa Gomes;604 290 245 77;Santa Rita;PB;Telecomunicações - Telefonia Móvel;apple;Internet instável;Não Resolvido;;36
362;27/11/2024;Pedro Lima;69630589165;São José;SC;Telecomunicações - Telefonia Móvel;SABESP;Voo cancelado sem aviso;Finalizado não avaliado;4;12
363;08/03/2024;Larissa Barbosa;887.607.694-27;Arapiraca;AL;Água e Esgoto;Casas bahia;Dados incorretos na fatura;Em andamento;5;85
364;17/11/2024;Vanessa Gomes;259-173-989-27;Pacaraima;RR;Cartões de Crédito/Débito;oi fixo;Propaganda enganosa;Finalizado não avaliado;3;64
365;2024-03-26;Thiago Ferreira;81350926376;Taguatinga;DF;Energia Elétrica;Sky Brasil;Dificuldade de cancelamento;Resolvido;3;23
366;19/02/2023;Fernanda Pereira;89956973935;Pacaraima;RR;Cartões de Crédito/Débito;latam airlines;Qualidade abaixo do esperado;Resolvido;5;32
367;04/05/2024;Lucas Nascimento;947 231 102 34;Juazeiro do Norte;CE;Viagens e Turismo;IFOOD;Atendimento precário;Finalizado não avaliado;;N/A
368;2023-01-22;Fernanda Pereira;345-889-580-71;Picos;PI;Alimentação - Delivery;AMAZON BRASIL;Internet instável;Finalizado não avaliado;1;64
